"product_id","title","description","category","price"
"P001","Sony WH-1000XM5 Wireless Headphones","Industry-leading noise cancellation headphones with 30-hour battery life and multipoint connection. Crystal clear hands-free calling and Alexa built-in.","Electronics","349.99"
"P002","Apple AirPods Pro 2nd Generation","Active noise cancellation earbuds with adaptive transparency and personalized spatial audio. H2 chip for smarter and lower distortion.","Electronics","249.00"
"P003","Samsung Galaxy S24 Ultra","6.8-inch Dynamic AMOLED display smartphone with 200MP camera and built-in S Pen. Titanium frame and 5000mAh battery.","Electronics","1199.99"
"P004","Dell XPS 15 Laptop","15.6-inch OLED touch display laptop powered by Intel Core i9. 32GB RAM and 1TB SSD for professional performance.","Electronics","1899.00"
"P005","Logitech MX Master 3S Mouse","Advanced wireless mouse with ultra-fast MagSpeed scrolling and 8K DPI optical sensor. Works on any surface including glass.","Electronics","99.99"
"P006","Apple MacBook Air M3","Thin and light laptop with M3 chip for up to 18-hour battery life. Stunning Liquid Retina display and MagSafe charging.","Electronics","1299.00"
"P007","LG 27-inch 4K Monitor","27-inch UHD IPS monitor with USB-C connectivity and HDR600. sRGB 99% color accuracy perfect for creative professionals.","Electronics","449.99"
"P008","Bose QuietComfort 45 Headphones","Premium wireless headphones with proprietary noise cancellation and 24-hour battery life. Foldable design for portability.","Electronics","279.00"
"P009","Samsung 65-inch QLED 4K TV","65-inch Neo QLED television with Quantum Matrix Technology and 144Hz refresh rate. Neural Quantum Processor for sharp upscaling.","Electronics","1499.99"
"P010","Nike Air Max 270","Mens lifestyle shoe with Max Air unit in the heel for all-day comfort. Engineered mesh upper and rubber outsole.","Footwear","150.00"
"P011","Adidas Ultraboost 22","Mens running shoe with Continental rubber outsole and Boost midsole for energy return. Primeknit upper adapts to foot shape.","Footwear","190.00"
"P012","New Balance 990v5","Classic grey mens sneaker made in USA. Premium pigskin suede and mesh upper with ENCAP midsole technology.","Footwear","185.00"
"P013","Nike Air Force 1 07","Iconic streetwear sneaker with perforated leather upper and pivot circle rubber outsole. Timeless classic for everyday wear.","Footwear","110.00"
"P014","Adidas Stan Smith","Low-profile leather sneakers with serrated 3-Stripes. Clean minimalist design perfect for casual and semi-casual outfits.","Footwear","95.00"
"P015","Timberland 6-Inch Premium Waterproof Boot","Waterproof full-grain leather boot with rustproof hardware and lug outsole. Classic icon since 1973 for outdoor adventures.","Footwear","198.00"
"P016","Converse Chuck Taylor All Star","Canvas high-top sneaker with iconic star ankle patch and rubber toe cap. Available in dozens of colors for personal expression.","Footwear","65.00"
"P017","Levis 501 Original Jeans","Original straight-fit jeans in 100% cotton denim. Button fly and iconic Levis red tab. The original blue jean since 1873.","Apparel","69.50"
"P018","Ralph Lauren Polo Shirt","Classic fit polo shirt in soft pique cotton. Embroidered pony logo at left chest. Machine washable and pre-shrunk.","Apparel","89.00"
"P019","Patagonia Better Sweater Fleece Jacket","Midlayer fleece jacket in 100% recycled polyester. Fair Trade Certified sewn with minimal environmental impact.","Apparel","139.00"
"P020","The North Face Denali Jacket","Classic fleece jacket with Polartec 300 Series fabric. Zip-in compatible and fleece-lined pockets for warmth.","Apparel","199.00"
"P021","Calvin Klein Performance Leggings","High-waist 7/8 leggings with moisture-wicking fabric and four-way stretch. Squat-proof and compression fit.","Apparel","55.00"
"P022","Tommy Hilfiger Crew Neck Sweater","Slim fit cotton sweater with signature flag embroidery. Ribbed cuffs and hem for a classic preppy look.","Apparel","79.00"
"P023","Instant Pot Duo 7-in-1","7-in-1 multi-cooker that replaces pressure cooker slow cooker rice cooker steamer saute pan and food warmer. 6-quart capacity.","Kitchen","99.95"
"P024","KitchenAid Stand Mixer Artisan","5-quart tilt-head stand mixer with 10-speed settings and 325-watt motor. Includes flat beater dough hook and wire whip.","Kitchen","449.99"
"P025","Nespresso Vertuo Next Coffee Machine","Coffee and espresso maker with Centrifusion technology and 5 cup sizes. Smart connectivity and automatic capsule recognition.","Kitchen","179.00"
"P026","Vitamix 5200 Blender","High-performance blender with aircraft-grade stainless steel blades. Variable speed control and self-cleaning in 60 seconds.","Kitchen","449.95"
"P027","All-Clad D3 Stainless Cookware Set","12-piece tri-ply stainless steel cookware set with bonded construction and flared edges. Dishwasher safe and oven safe to 600F.","Kitchen","699.99"
"P028","Weber Spirit II E-310 Gas Grill","3-burner propane gas grill with GS4 grilling system and iGrill 3 compatible. Porcelain-enameled lid and 424 sq-inch cooking area.","Kitchen","499.00"
"P029","Ninja AF101 Air Fryer","4-quart air fryer with wide temperature range of 105-400F. DH Technology for even airflow and less oil cooking.","Kitchen","99.99"
"P030","Dyson V15 Detect Vacuum","Cordless vacuum with laser dust detection and intelligent suction adjustment. HEPA filtration captures 99.97% of particles.","Home","749.99"
"P031","Roomba j7+ Robot Vacuum","Self-emptying robot vacuum with PrecisionVision Navigation to avoid obstacles. Smart mapping and works with Alexa and Google Home.","Home","799.99"
"P032","Casper Original Mattress","Foam mattress with zoned support for pressure relief and correct spinal alignment. Available in multiple sizes with 100-night trial.","Home","1095.00"
"P033","Philips Hue White and Color Starter Kit","Smart LED bulbs with 16 million colors and 800 lumens. Bridge included and works with Alexa Google and Apple HomeKit.","Home","199.99"
"P034","Nest Learning Thermostat 3rd Gen","Smart thermostat that programs itself in a week. Energy-saving features saved customers an average of 10-12% on heating bills.","Home","249.00"
"P035","LEVOIT Air Purifier Core 300","True HEPA air purifier for rooms up to 219 sq ft. 3-stage filtration removes 99.97% of particles including dust pollen and smoke.","Home","99.99"
"P036","SimpliSafe 9-Piece Home Security","Wireless home security system with 24/7 monitoring and 105dB siren. No contract required and easy DIY setup.","Home","289.00"
"P037","Kindle Paperwhite 11th Gen","6.8-inch 300 ppi display e-reader with adjustable warm light and weeks of battery life. IPX8 waterproof for reading anywhere.","Books and Media","139.99"
"P038","Echo Dot 5th Gen Smart Speaker","Compact smart speaker with Alexa improvements and motion detection. Better audio with clearer vocals and deeper bass.","Electronics","49.99"
"P039","Apple Watch Series 9","Always-on Retina display smartwatch with double tap gesture and 18-hour battery life. Advanced health monitoring features.","Electronics","399.00"
"P040","GoPro Hero 12 Black","Action camera with HyperSmooth 6.0 stabilization and 5.3K video at 60fps. Waterproof to 33 feet without housing.","Electronics","399.99"
"P041","Nintendo Switch OLED","Gaming console with 7-inch OLED screen and improved audio for handheld mode. 64GB internal storage and wide adjustable stand.","Electronics","349.99"
"P042","PlayStation DualSense Wireless Controller","Haptic feedback controller with adaptive triggers and built-in microphone. USB-C charging and Bluetooth connectivity.","Electronics","69.99"
"P043","Fitbit Charge 6","Advanced health and fitness tracker with heart rate monitoring GPS and Google Maps. 7-day battery and skin temperature sensor.","Electronics","159.95"
"P044","Anker PowerCore 26800mAh Power Bank","Ultra-high capacity portable charger with dual USB-A and USB-C ports. Charges an iPhone 15 over 6 times and includes travel pouch.","Electronics","65.99"
"P045","Polaroid Now+ Analog Instant Camera","I-Type instant film camera with Bluetooth remote control and built-in flash and close-up lens. Includes filters and app control.","Electronics","139.99"
"P046","LEGO Technic Bugatti Chiron","Authentic 1:8 scale model replica with 3599 pieces and detailed engine and aerodynamic features. For ages 16 and up.","Toys and Games","349.99"
"P047","Monopoly Classic Board Game","Classic version of the worlds favorite family board game. Includes tokens Chance/Community Chest cards title deeds and play money.","Toys and Games","19.99"
"P048","Jenga Classic Game","Pull-out block stacking game for 1 or more players. 54 precision-crafted wooden blocks and includes stacking sleeve.","Toys and Games","12.99"
"P049","Razer DeathAdder V3 Gaming Mouse","Lightweight 59g wired gaming mouse with Focus Pro 30K optical sensor and 90-hour battery estimate. HyperPolling at 8000Hz.","Electronics","69.99"
"P050","HyperX Cloud Alpha Gaming Headset","Pro gaming headset with dual chamber drivers and DTS Headphone spatial audio. Braided cable and aluminum build quality.","Electronics","99.99"
"P051","Yoga Mat Premium Non-Slip","6mm thick TPE eco-friendly yoga mat with alignment lines. Non-slip surface and moisture-wicking top layer for all types of yoga.","Sports","45.00"
"P052","Bowflex SelectTech 552 Dumbbells","Adjustable dumbbells that replace 15 sets of weights from 5 to 52.5 lbs. Dial-select system and molded contour shape.","Sports","349.00"
"P053","Garmin Forerunner 255 GPS Watch","Running GPS watch with training readiness score and daily suggested workouts. Incident detection and 14-day battery life in smartwatch mode.","Sports","349.99"
"P054","TRX PRO4 Suspension Trainer","Professional-grade suspension training system with adjustable foot cradles. Used by elite athletes and military personnel worldwide.","Sports","199.95"
"P055","Hydro Flask 32 oz Water Bottle","Vacuum insulated water bottle that keeps drinks cold 24 hours and hot 12 hours. TempShield insulation and 100% BPA-free.","Sports","44.95"
"P056","Under Armour Compression Shorts","Mens HeatGear compression shorts with moisture-wicking fabric and 4-way stretch. Anti-odor technology and flat seams for chafing prevention.","Apparel","35.00"
"P057","Theragun Pro Massage Gun","Professional massage gun with QX150 motor and 16mm amplitude. 5 built-in speeds and 6 attachments with OLED screen.","Sports","599.00"
"P058","Trek FX 3 Disc Hybrid Bike","Lightweight aluminum hybrid bike with flat-mount hydraulic disc brakes and Shimano Deore drivetrain. Perfect for commuting and fitness.","Sports","1099.99"
"P059","Coleman Sundome Camping Tent","4-person dome tent with 1-minute setup and weather-resistant shell. Strong enough for 35+ mph winds and taped floor seams.","Outdoors","79.99"
"P060","Osprey Atmos AG 65L Backpack","Mens 65L anti-gravity hiking backpack with IsoForm CM hipbelt and LightWire suspension. Hydration compatible and integrated rain cover.","Outdoors","340.00"
"P061","Stanley Adventure Quencher 40 oz","H2.0 FlowState Tumbler with rotating cover and advanced lid. Narrow base fits most car cup holders and keeps drinks cold 2 days.","Kitchen","45.00"
"P062","Cuisinart 14-Cup Food Processor","Large-capacity food processor with adjustable slicing disc and 14-cup work bowl. 720-watt motor and dishwasher-safe parts.","Kitchen","219.00"
"P063","Yankee Candle Large Jar","22oz large jar candle in signature vanilla cupcake fragrance. 110-150 hour burn time and premium cotton wick for clean burning.","Home","31.99"
"P064","Waterpik Aquarius Water Flosser","Electric water flosser with 10 pressure settings and 1400 pulses per minute. Removes 99.9% more plaque than string floss.","Personal Care","89.00"
"P065","Braun Series 9 Electric Shaver","Smart electric shaver with 5-synchronized shaving elements and AutoSense technology. Wet and dry shaving with 60-minute battery life.","Personal Care","299.00"
"P066","Oral-B iO Series 9 Electric Toothbrush","AI-powered electric toothbrush with 3D teeth tracking and 7 smart modes. Pressure sensor and personalized brushing guidance.","Personal Care","249.99"
"P067","Olaplex No.3 Hair Perfector","Reparative at-home treatment to strengthen and repair damaged and broken hair bonds. Clinically tested and salon-used formula.","Personal Care","30.00"
"P068","The Ordinary Niacinamide Serum","10% niacinamide and 1% zinc facial serum to target blemishes and minimize pores. Lightweight formula for all skin types.","Personal Care","12.00"
"P069","CeraVe Moisturizing Cream","Daily moisturizer for face and body with three essential ceramides. Fragrance-free and non-comedogenic dermatologist developed formula.","Personal Care","19.99"
"P070","Neutrogena Hydro Boost Gel Cream","Lightweight hydrating moisturizer with hyaluronic acid for 48-hour hydration. Non-comedogenic and fragrance-free for all skin types.","Personal Care","22.00"
"P071","Harry Potter Complete 8-Film Collection","Complete collection of all 8 Harry Potter films in 4K UHD Blu-ray format. Includes extended and theatrical versions.","Books and Media","89.99"
"P072","Atomic Habits by James Clear","New York Times bestselling self-improvement book on building good habits. Evidence-based framework for transforming your life.","Books and Media","27.00"
"P073","The Psychology of Money by Morgan Housel","19 short stories exploring wealth greed and happiness. Morgan Housel personal finance wisdom applied to everyday decision-making.","Books and Media","18.00"
"P074","Thinking Fast and Slow by Daniel Kahneman","Nobel Prize winner Daniel Kahneman exploration of the two systems that drive the way we think. Groundbreaking behavioral economics.","Books and Media","16.00"
"P075","Samsung 970 EVO Plus 1TB SSD","NVMe M.2 internal SSD with sequential read speeds up to 3500 MB/s. Enhanced performance for gaming and creative professionals.","Electronics","89.99"
"P076","Western Digital 4TB External Hard Drive","USB 3.0 portable external hard drive for backup and storage. Compatible with Windows and Mac with automatic backup software.","Electronics","89.99"
"P077","Corsair Vengeance 32GB DDR5 RAM","High-performance DDR5 desktop memory at 5200MHz. Intel XMP 3.0 certified and optimized for latest motherboard platforms.","Electronics","109.99"
"P078","ASUS ROG Strix Gaming Monitor","27-inch 165Hz QHD gaming monitor with 1ms response time and G-Sync compatible. Fast IPS panel and Aura RGB lighting.","Electronics","399.99"
"P079","Blue Yeti USB Microphone","Professional USB microphone with four pickup patterns and direct monitoring. Popular for podcasting streaming and home recording.","Electronics","129.99"
"P080","Elgato Stream Deck MK.2","15-key LCD stream controller for Twitch YouTube and OBS. Fully customizable keys with drag-and-drop profiles.","Electronics","149.99"
"P081","Amazon Echo Show 8","8-inch HD smart display with Alexa and adaptive color. Control smart home devices and make video calls hands-free.","Electronics","139.99"
"P082","Tile Mate Bluetooth Tracker","Find your keys and wallet with Bluetooth tracker. 250-foot range and Amazon Alexa and Google Assistant integration.","Electronics","24.99"
"P083","Roborock S8 Pro Ultra Robot Vacuum","Self-emptying robot vacuum and mop with 6000Pa suction and FlexiArm side brush. Sonic mopping and auto-dock with hot-air drying.","Home","1399.99"
"P084","Shark NV360 Navigator Lift-Away","Anti-allergen complete seal upright vacuum with true HEPA filter. Lift-away pod for portable cleaning and zero tangle brushroll.","Home","199.00"
"P085","Purple Harmony Pillow","Grid-based pillow with 3-inch Purple Grid for pressure relief and neutral spine alignment. Machine washable cover and temperature neutral.","Home","199.00"
"P086","Beautyrest Black Hybrid Mattress","Queen size hybrid mattress with T3 Pocketed Coil Technology and cooling gel memory foam. 10-year limited warranty.","Home","1299.00"
"P087","Vitamix Ascent A3500","64-oz container high-performance blender with built-in wireless connectivity and 5 program settings. Self-detect technology for accessories.","Kitchen","649.95"
"P088","Cuisinart CPT-122 2-Slice Toaster","Compact 2-slice toaster with 6 browning settings and bagel and defrost functions. Stainless steel with removable crumb tray.","Kitchen","34.99"
"P089","Instant Pot 8-Quart Duo Plus","9-in-1 multi-cooker with LED display and cook progress indicator. Ultra-fast steam release button for easy safe pressure release.","Kitchen","109.99"
"P090","Zojirushi Rice Cooker NS-TSC10","5.5-cup conventional rice cooker and warmer with automatic keep warm and reheating cycle. Fuzzy logic and retractable power cord.","Kitchen","179.99"
"P091","Columbia Sportswear Watertight II Rain Jacket","Packable rain jacket with Omni-Tech waterproof-breathable technology. Fully seam-sealed and adjustable cuffs.","Apparel","100.00"
"P092","Merrell Moab 3 Hiking Shoe","Waterproof suede and mesh hiking shoe with Vibram TC5+ outsole. Bellows tongue and M Select GRIP for traction.","Footwear","140.00"
"P093","Salomon X Ultra 4 Hiking Boot","Low hiking boot with Contagrip TD outsole and GORE-TEX waterproofing. Advanced Chassis technology for stability on rocky terrain.","Footwear","180.00"
"P094","Black Diamond Trail Running Poles","Ultra-lightweight carbon trekking poles with FlickLock Pro adjustability and tech cork grips. Ideal for trail running and fast hiking.","Outdoors","199.95"
"P095","Patagonia Down Sweater Jacket","600-fill power goose down jacket with recycled ripstop nylon shell. Stuffs into its own chest pocket for easy transport.","Apparel","279.00"
"P096","Arcteryx Atom LT Hoody","Lightweight insulated hoody with Coreloft Compact 60 insulation and Tyono 20 shell. Articulated patterning for unrestricted movement.","Apparel","325.00"
"P097","Lululemon ABC Slim-Fit Pant","Mens anti-ball-crushing pant with four-way stretch fabric and gusseted crotch. 9 pockets including dual waistband pockets.","Apparel","128.00"
"P098","Yeti Tundra 45 Cooler","Rotomolded cooler with 3-inch PermaFrost Insulation and T-Rex Lid Latches. Certified bear-resistant and up to 5 days of ice retention.","Outdoors","325.00"
"P099","Traeger Pro 575 Pellet Grill","WiFi-connected wood pellet grill with 575 sq-inch cooking capacity and D2 drivetrain. Smoke bake roast and grill all in one.","Kitchen","799.99"
"P100","DJI Mini 3 Pro Drone","249g drone with 4K HDR video and 47-minute flight time. Tri-directional obstacle sensing and OcuSync HD transmission.","Electronics","759.00"
